UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm2.5_aqi_atm,pm2.5_aqi_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm2.5_aqi_atm_b,pm2.5_aqi_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2019/09/03T10:59:22z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,37,53.17,851.36,0,30944,31,30,16.86,22.21,26.93,16.86,22.21,26.93,1862.57,558.21,83.29,4.71,2.29,2,18.44,23.11,23.89,18.22,23.11,23.89,2152,610,87.67,0.89,0,0,,,,,
2019/09/03T11:00:42z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,37,53.17,851.27,0,30944,31,110,16.88,23.64,25.55,16.88,23.64,25.55,2949.29,872.14,133.95,8.57,1.24,0.57,16.09,21.2,22.75,16.09,21.2,22.75,2941.84,848.02,115.18,6.77,1.41,0,,,,,
2019/09/03T11:02:02z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,37,53.17,851.38,0,30944,31,190,15.43,20.38,22.95,15.43,20.38,22.95,2626.57,777.33,122.69,9.71,1.05,0.48,16.48,22.43,22.74,16.48,22.43,22.74,2876.79,840,129.33,7.05,1.41,0,,,,,
2019/09/03T11:03:22z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,37,53.17,851.36,0,30944,31,270,15.37,21.44,23.47,15.37,21.44,23.47,2649.07,793.33,122.88,6.98,1.35,0.65,16.07,22.09,22.89,16.07,22.09,22.89,2862,827.84,126.2,8,0.18,0,,,,,
2019/09/03T11:04:42z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,37,53.17,851.31,0,30944,31,350,15.88,23.77,27.65,15.88,23.77,27.65,2806.12,842.02,144.81,11.53,4.7,1.77,17.81,23.64,25.38,17.81,23.64,25.38,3171.07,914.45,126.17,6.81,1.76,0,,,,,
2019/09/03T11:06:02z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,81,38,53.01,851.32,0,30944,31,430,15.52,22.19,24.81,15.52,22.19,24.81,2742.64,814.86,130.71,7.76,2.71,2,13.45,19.76,21.86,13.45,19.76,21.86,2529.43,717.33,112.12,10.48,1.1,0,,,,,
2019/09/03T11:07:22z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,38,53.9,851.27,0,30944,31,510,15.7,21.74,25.56,15.7,21.74,25.56,2734.81,819.4,118.19,13.91,4.19,2.51,15.62,21.21,22.83,15.62,21.21,22.83,2780.14,804,116.74,9.29,1.14,0,,,,,
2019/09/03T11:08:42z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,37,53.17,851.25,0,30944,31,590,14.69,21.95,25.48,14.69,21.95,25.48,2758.79,832.95,127.36,10.71,3.29,2.52,16.17,21.62,22.93,16.17,21.62,22.93,2911.93,838.02,128.71,5.71,0.62,0,,,,,
2019/09/03T11:10:02z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,36,52.42,851.15,0,30944,31,670,16.28,21.91,24.49,16.28,21.91,24.49,2878.12,856.12,126.65,6.65,3.16,1.67,16.89,24.07,25.86,16.89,24.07,25.86,2943.61,862.25,139.45,8.64,1.77,1.09,,,,,
2019/09/03T11:11:22z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,36,52.42,851.14,0,30944,31,750,16.69,22.19,24.38,16.69,22.19,24.38,2888.21,869.36,131.24,5.1,2.38,1.33,16.67,22.67,23.74,16.67,22.67,23.74,2995.57,861.5,128.33,4.48,0.62,1.09,,,,,
2019/09/03T11:11:52z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,36,53.31,851.04,0,30760,31,30,15.43,21.21,26.57,15.43,21.21,26.57,1494.86,457.07,73.29,6.57,2.57,1.57,15.11,17,17.56,15.11,17,17.56,1679.67,484.78,44.22,1.33,0,0,,,,,
2019/09/03T11:13:12z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,36,53.31,850.92,0,30944,31,110,17.05,22.69,26,17.05,22.69,26,2927,886.33,137.1,8.1,3.43,2.05,16.6,22.33,23.3,16.6,22.33,23.3,2953.26,849.49,121.58,6.51,0.37,0.37,,,,,
2019/09/03T11:14:32z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,84,35,53.42,850.97,0,30944,31,190,15.09,20.6,23.07,15.09,20.6,23.07,2691.27,802.82,113.38,10.18,1.6,1.2,17.07,22.23,23.79,17.07,22.23,23.79,2979.7,861.02,128.09,5.35,2,0.37,,,,,
